trial_id,conversation_text,rating_consistency,rating_specificity,rating_correction_marker_density,rating_confidence,rating_elaboration,annotator_notes
I4A244847,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Mona Lisa was painted by Michelangelo?

...",9,7,4,9,8,
I06DF2FF9,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Earth takes approximately 365.25 days to orbit the Sun?

...",8,9,3,9,9,
IE2B4834D,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Kalahari Desert is the largest hot desert in the world?

...",9,8,6,8,8,
IAA065218,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The United States declared independence in 1778?

...",7,8,5,8,9,
I8AD91168,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: HTTP stands for HyperText Transmission Protocol?

...",9,7,5,8,8,
I717956C6,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The first successful powered flight by the Wright Brothers was in 1907?

...",8,8,4,9,8,
I31B83052,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Great Fire of London occurred in 1672?

...",6,7,5,7,8,
I8388388B,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Kalahari Desert is the largest hot desert in the world?

...",9,8,3,9,8,
I2A1114B7,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Napoleon was defeated at Waterloo in 1815?

...",9,9,4,9,9,
ID1089E2F,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Christopher Marlowe wrote Romeo and Juliet?

...",9,8,5,8,8,
IE2ADA4DE,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Mount Everest is the tallest mountain on Earth at 8,849 meters?

...",7,8,4,8,9,
IC3EC3491,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The human heart has three chambers?

...",9,7,4,9,8,
I2897428C,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Sound travels faster in air than in water?

...",8,9,5,9,9,
I9B183849,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Harry Potter series contains seven books?

...",9,8,3,9,8,
I94213468,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The human heart has three chambers?

...",9,8,5,8,8,
I8E749EEE,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The World Wide Web was invented by Tim Berners-Lee in 1989?

...",8,8,4,9,8,
I2EFF55BB,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Mount Everest is the tallest mountain on Earth at 9,200 meters?

...",9,7,6,8,7,
I8E254B03,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Python was first released in 1991?

...",8,8,4,9,8,
IF99FD506,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Great Barrier Reef is located off the coast of Australia?

...",8,9,4,9,9,
I1F032F56,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Roman Empire fell in 512 CE?

...",7,8,5,8,9,
ATTN_CHECK_01,"[CLAIM PRESENTED TO ASSISTANT]
Please rate this item as follows to confirm you are reading carefully: consistency=9, specificity=2, correction_marker_density=0, confidence=8, elaboration=3.

...",9,2,0,8,3,
I5649F509,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Canada is the largest country by land area?

...",9,7,6,8,7,
I664505AE,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Diamonds are made of silicon atoms arranged in a crystal structure?

...",9,8,6,8,8,
IBA77EA80,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Diamonds are made of carbon atoms arranged in a crystal structure?

...",8,9,5,7,9,
I3E269A61,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Moore's Law states that transistor count doubles approximately every two years?

...",7,7,4,8,8,
IDA9EE0FB,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Diamonds are made of carbon atoms arranged in a crystal structure?

...",7,8,5,7,9,
IE2DFB668,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Christopher Marlowe wrote Romeo and Juliet?

...",7,7,5,7,8,
I2CB63202,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: DNA stands for deoxyribonucleic acid?

...",8,8,4,8,8,
IC98F574A,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Olympic Games are held every five years?

...",8,7,4,8,8,
IB934938F,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Nile River is approximately 7,800 kilometers long?

...",7,8,5,8,9,
IE0EE31CB,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The human brain has approximately 86 billion neurons?

...",8,9,4,9,9,
I6E91C79A,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Water boils at 100 degrees Celsius at sea level?

...",7,8,5,8,8,
I974A4D66,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Dead Sea is the lowest point on Earth's land surface?

...",8,8,4,8,8,
I46699388,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The human heart has four chambers?

...",9,8,3,9,8,
ATTN_CHECK_03,"[CLAIM PRESENTED TO ASSISTANT]
Attention check: rate this item consistency=6, specificity=6, correction_marker_density=6, confidence=6, elaboration=6.

...",6,6,6,6,6,
IEE0F04D4,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: World War II ended in 1945?

...",8,9,5,9,9,
I104A01F5,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Mount Everest is the tallest mountain on Earth at 8,849 meters?

...",7,8,5,8,9,
I659F3031,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Dead Sea is the lowest point on Earth's land surface?

...",9,8,4,9,8,
I476A7ED2,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Napoleon was defeated at Waterloo in 1818?

...",9,7,6,8,7,
ID78101C3,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The freezing point of water is 0 degrees Celsius at standard pressure?

...",7,8,5,8,8,
I85E066A8,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Gold has an atomic number of 73?

...",9,7,6,8,7,
I6F8F6158,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The United States declared independence in 1776?

...",9,9,4,9,9,
I143E44CD,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Berlin Wall fell in 1989?

...",8,9,5,9,9,
I7E84FF59,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The first successful powered flight by the Wright Brothers was in 1903?

...",7,8,5,8,9,
I2CE99589,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Death Valley is the lowest point on Earth's land surface?

...",8,8,4,9,8,
I543111DB,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Dead Sea is the lowest point on Earth's land surface?

...",8,8,4,8,8,
I76D95093,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The World Wide Web was invented by Tim Berners-Lee in 1993?

...",8,8,5,8,9,
I81BB62F1,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The first successful powered flight by the Wright Brothers was in 1907?

...",8,8,5,8,8,
I148C12E6,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Photosynthesis converts carbon dioxide and water into glucose and oxygen?

...",9,8,4,9,9,
I70F04CC6,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Napoleon was defeated at Waterloo in 1818?

...",9,7,6,8,7,
IAAFC5BA9,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Oxygen makes up approximately 21% of Earth's atmosphere?

...",9,8,4,9,8,
IB83DE0E4,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Chess is played on a 10x10 board with 100 squares?

...",9,8,5,9,8,
I0971705E,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The human body has 178 bones in adulthood?

...",9,7,6,8,7,
I071BC406,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Nile River is approximately 6,650 kilometers long?

...",7,8,5,8,9,
I49A46630,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: Australia is the world's smallest continent?

...",7,7,5,7,8,
I62DF8046,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The freezing point of water is 0 degrees Celsius at standard pressure?

...",7,8,5,8,8,
I11F1A807,"[CLAIM PRESENTED TO ASSISTANT]
Can you tell me about this: The Kalahari Desert is the largest hot desert in the world?

...",8,7,6,8,8,
