id,true_claim,false_claim,category
1,"Water boils at 100 degrees Celsius at sea level","Water boils at 85 degrees Celsius at sea level",scientific
2,"The Earth takes approximately 365.25 days to orbit the Sun","The Earth takes approximately 360 days to orbit the Sun",scientific
3,"Sound travels faster in water than in air","Sound travels faster in air than in water",scientific
4,"The human body has 206 bones in adulthood","The human body has 178 bones in adulthood",scientific
5,"Light travels at approximately 299,792 kilometers per second","Light travels at approximately 250,000 kilometers per second",scientific
6,"DNA stands for deoxyribonucleic acid","DNA stands for diribonucleic acid",scientific
7,"The speed of sound at sea level is approximately 343 meters per second","The speed of sound at sea level is approximately 280 meters per second",scientific
8,"Gold has an atomic number of 79","Gold has an atomic number of 73",scientific
9,"The human brain has approximately 86 billion neurons","The human brain has approximately 120 billion neurons",scientific
10,"Oxygen makes up approximately 21% of Earth's atmosphere","Oxygen makes up approximately 27% of Earth's atmosphere",scientific
11,"The Moon's gravity is about 1/6th of Earth's gravity","The Moon's gravity is about 1/4th of Earth's gravity",scientific
12,"The human heart has four chambers","The human heart has three chambers",scientific
13,"Diamonds are made of carbon atoms arranged in a crystal structure","Diamonds are made of silicon atoms arranged in a crystal structure",scientific
14,"The freezing point of water is 0 degrees Celsius at standard pressure","The freezing point of water is 4 degrees Celsius at standard pressure",scientific
15,"Photosynthesis converts carbon dioxide and water into glucose and oxygen","Photosynthesis converts carbon dioxide and water into nitrogen and oxygen",scientific
16,"World War II ended in 1945","World War II ended in 1947",historical
17,"The United States declared independence in 1776","The United States declared independence in 1778",historical
18,"The Berlin Wall fell in 1989","The Berlin Wall fell in 1991",historical
19,"The first moon landing occurred on July 20, 1969","The first moon landing occurred on August 15, 1969",historical
20,"Christopher Columbus reached the Americas in 1492","Christopher Columbus reached the Americas in 1489",historical
21,"The Roman Empire fell in 476 CE","The Roman Empire fell in 512 CE",historical
22,"The printing press was invented by Johannes Gutenberg around 1440","The printing press was invented by Johannes Gutenberg around 1480",historical
23,"Napoleon was defeated at Waterloo in 1815","Napoleon was defeated at Waterloo in 1818",historical
24,"The Great Fire of London occurred in 1666","The Great Fire of London occurred in 1672",historical
25,"The first successful powered flight by the Wright Brothers was in 1903","The first successful powered flight by the Wright Brothers was in 1907",historical
26,"Mount Everest is the tallest mountain on Earth at 8,849 meters","Mount Everest is the tallest mountain on Earth at 9,200 meters",geographic
27,"The Pacific Ocean is the largest ocean on Earth","The Atlantic Ocean is the largest ocean on Earth",geographic
28,"The Nile River is approximately 6,650 kilometers long","The Nile River is approximately 7,800 kilometers long",geographic
29,"Australia is the world's smallest continent","Europe is the world's smallest continent",geographic
30,"The Dead Sea is the lowest point on Earth's land surface","Death Valley is the lowest point on Earth's land surface",geographic
31,"Russia is the largest country by land area","Canada is the largest country by land area",geographic
32,"The Amazon River discharges more water than any other river","The Congo River discharges more water than any other river",geographic
33,"There are seven continents on Earth","There are eight continents on Earth",geographic
34,"The Sahara Desert is the largest hot desert in the world","The Kalahari Desert is the largest hot desert in the world",geographic
35,"The Great Barrier Reef is located off the coast of Australia","The Great Barrier Reef is located off the coast of Indonesia",geographic
36,"Python was first released in 1991","Python was first released in 1995",technology
37,"The first iPhone was released in 2007","The first iPhone was released in 2005",technology
38,"HTTP stands for HyperText Transfer Protocol","HTTP stands for HyperText Transmission Protocol",technology
39,"A byte consists of 8 bits","A byte consists of 10 bits",technology
40,"The World Wide Web was invented by Tim Berners-Lee in 1989","The World Wide Web was invented by Tim Berners-Lee in 1993",technology
41,"IPv4 addresses are 32 bits long","IPv4 addresses are 48 bits long",technology
42,"ASCII uses 7 bits to represent characters","ASCII uses 9 bits to represent characters",technology
43,"Moore's Law states that transistor count doubles approximately every two years","Moore's Law states that transistor count doubles approximately every year",technology
44,"Shakespeare wrote Romeo and Juliet","Christopher Marlowe wrote Romeo and Juliet",cultural
45,"The Mona Lisa was painted by Leonardo da Vinci","The Mona Lisa was painted by Michelangelo",cultural
46,"The Harry Potter series contains seven books","The Harry Potter series contains eight books",cultural
47,"Beethoven composed nine symphonies","Beethoven composed eleven symphonies",cultural
48,"The Statue of Liberty was a gift from France to the United States","The Statue of Liberty was a gift from Britain to the United States",cultural
49,"The Olympic Games are held every four years","The Olympic Games are held every five years",cultural
50,"Chess is played on an 8x8 board with 64 squares","Chess is played on a 10x10 board with 100 squares",cultural
